combination_id,community_algorithm,community_resolution,min_pattern_frequency,quality_weight_coverage,quality_weight_redundancy,num_communities,avg_community_size,avg_affinity_score,coverage_ratio,weighted_coverage,redundancy_score,quality_score
0,louvain,1.5,4,0.5,0.3,12,6.416666666666667,0.07735179172679173,0.4642857142857143,0.4608695652173913,0.0,0.245905140954054
1,louvain,1.0,3,0.4,0.6,4,19.25,0.05423925339366516,0.5116279069767442,0.5191956124314442,0.0,0.2076782449725777
2,greedy_modularity,1.2,2,0.6,0.4,3,25.666666666666668,0.04350732895660433,0.20339805825242718,0.2128151746472357,0.0,0.12768910478834142
3,louvain,1.0,4,0.4,0.6,4,19.25,0.05195121780076013,0.5714285714285714,0.5739130434782609,0.0,0.22956521739130437
4,label_propagation,1.0,2,0.4,0.4,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.4063602187286398
5,louvain,2.0,3,0.4,0.4,19,4.052631578947368,0.04888471177944862,0.09883720930232558,0.10237659963436929,0.0,0.050727582209637447
6,label_propagation,0.5,3,0.4,0.4,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.4063602187286398
7,label_propagation,1.0,4,0.4,0.5,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.4031801093643199
8,greedy_modularity,0.5,3,0.6,0.3,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.23689186635087064
9,louvain,0.5,4,0.6,0.5,10,7.7,0.02570588235294118,0.8214285714285714,0.8260869565217391,0.0,0.49308158567774935
10,greedy_modularity,2.0,3,0.6,0.3,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.23689186635087064
11,greedy_modularity,0.8,4,0.3,0.3,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.17914206201742433
12,label_propagation,1.0,3,0.6,0.6,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.5936397812713602
13,louvain,1.5,2,0.5,0.6,9,8.555555555555555,0.07878673795340463,0.11310679611650486,0.12005551700208189,0.0,0.05214908470570048
14,louvain,0.8,2,0.6,0.6,4,19.25,0.05238459908649007,0.5082524271844661,0.5133009484154523,0.0,0.2975036492319733
15,label_propagation,1.5,2,0.6,0.5,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.5968198906356801
16,louvain,1.0,3,0.6,0.5,5,15.4,0.054802795031055895,0.6104651162790697,0.6124314442413162,0.0,0.3619785870416841
17,greedy_modularity,1.0,3,0.3,0.6,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.12062129962326554
18,label_propagation,1.0,3,0.4,0.5,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.4031801093643199
19,louvain,0.5,2,0.4,0.5,6,12.833333333333334,0.033499154950022814,0.45145631067961167,0.45963451306962755,0.0,0.1872037207228533
20,greedy_modularity,0.5,4,0.4,0.4,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.22435363970436434
21,label_propagation,1.2,3,0.3,0.3,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.31272043745727957
22,greedy_modularity,1.5,2,0.3,0.4,3,25.666666666666668,0.04350732895660433,0.20339805825242718,0.2128151746472357,0.0,0.076896751081152
23,louvain,0.5,2,0.4,0.6,8,9.625,0.033683655753968256,0.8805825242718447,0.8848022206800833,0.0,0.35392088827203333
24,greedy_modularity,1.5,4,0.3,0.5,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.17044059622610347
25,louvain,1.5,3,0.3,0.4,11,7.0,0.07041847041847042,0.19186046511627908,0.19744058500914077,0.0,0.08035771662828335
26,greedy_modularity,1.0,3,0.5,0.6,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.18943354498368142
27,greedy_modularity,0.8,4,0.6,0.4,3,25.666666666666668,0.04350732895660433,0.5357142857142857,0.5391304347826087,0.0,0.3234782608695652
28,greedy_modularity,2.0,3,0.5,0.5,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.19378427787934185
29,louvain,1.5,2,0.3,0.5,11,7.0,0.08386033158760431,0.09368932038834951,0.10131852879944483,0.0,0.04716762495735431
30,greedy_modularity,2.0,2,0.5,0.3,3,25.666666666666668,0.04350732895660433,0.20339805825242718,0.2128151746472357,0.0,0.11510905311493871
31,greedy_modularity,2.0,2,0.3,0.5,3,25.666666666666668,0.04350732895660433,0.20339805825242718,0.2128151746472357,0.0,0.07254601818549157
32,louvain,1.2,2,0.5,0.3,6,12.833333333333334,0.06079510222892575,0.14611650485436894,0.15591024751330096,0.0,0.09011414420243563
33,label_propagation,1.2,4,0.4,0.3,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.4095403280929597
34,louvain,2.0,4,0.4,0.5,19,4.052631578947368,0.05676482873851295,0.07142857142857142,0.06956521739130435,0.0,0.03350256983037303
35,greedy_modularity,0.8,2,0.5,0.4,3,25.666666666666668,0.04350732895660433,0.20339805825242718,0.2128151746472357,0.0,0.11075832021927828
36,louvain,0.8,2,0.5,0.5,5,15.4,0.04724083196496989,0.612621359223301,0.6206338191071016,0.0,0.3103169095535508
37,louvain,0.5,3,0.4,0.5,8,9.625,0.03615769944341373,0.8255813953488372,0.8226691042047533,0.0,0.3326834116262427
38,label_propagation,1.5,3,0.6,0.3,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.6031801093643199
39,louvain,2.0,2,0.6,0.6,21,3.6666666666666665,0.04361300075585789,0.0412621359223301,0.04279435577145501,0.0,0.01695401331170143
40,greedy_modularity,0.5,3,0.4,0.4,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.16372888809479436
41,label_propagation,1.2,2,0.5,0.6,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.4968198906356801
42,louvain,1.0,2,0.3,0.3,6,12.833333333333334,0.06048141186299081,0.21359223300970873,0.22553782095766828,0.0,0.09185391103249681
43,label_propagation,1.5,4,0.3,0.6,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.3031801093643199
44,louvain,1.5,3,0.6,0.5,11,7.0,0.0776387249114522,0.16279069767441862,0.1736745886654479,0.0,0.09644088070812352
45,greedy_modularity,1.5,3,0.3,0.3,3,25.666666666666668,0.04350732895660433,0.37790697674418605,0.3875685557586837,0.0,0.13367349831024683
46,louvain,1.0,3,0.5,0.4,4,19.25,0.05287039529770718,0.36627906976744184,0.376599634369287,0.0,0.19358685671441422
47,louvain,1.2,2,0.4,0.6,6,12.833333333333334,0.06321301247771836,0.18155339805825244,0.1924589405505436,0.0,0.07698357622021745
48,label_propagation,0.5,3,0.6,0.3,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.6031801093643199
49,label_propagation,1.0,4,0.5,0.5,1,77.0,0.031801093643198906,1.0,1.0,0.0,0.5
